ID,Sample,size,lnsize,ogtissue,lntissue,tissue,ogshell,lnshell,shell,site,mass,no,ratio,ratio.m,location,body,Type,clump.density
N82,2.1.2?,13.05,2.568788134,0.003,-5.80914299,0.004127024,0.096,-2.343407088,0.125173376,2,91.724,282,2.098901099,12.80138429,sport,0.032970463,Clump,high
H47,4.1.1,13.06,2.569554124,0.009,-4.710530702,0.012347536,0.125,-2.079441542,0.162618785,4,106.604,222,2.69047619,14.85189591,sport,0.075929334,Clump,high
N92,2,13.09,2.57184858,0.013,-4.342805922,0.017691011,0.118,-2.137070655,0.152477972,2,91.724,282,2.098901099,12.80138429,sport,0.116023387,Clump,high
H221,4.2.1,13.1,2.57261223,0.016,-4.135166557,0.021714754,0.144,-1.937941979,0.185656669,4,106.604,222,2.69047619,14.85189591,sport,0.116961883,Clump,high
H157,4.2.2,13.15,2.576421759,0.015,-4.199705078,0.020084811,0.172,-1.760260802,0.219281745,4,106.604,222,2.69047619,14.85189591,sport,0.09159363,Clump,high
N39,2.1.1,13.23,2.582486978,0.014,-4.268697949,0.018347513,0.14,-1.966112856,0.175324268,2,91.724,282,2.098901099,12.80138429,sport,0.104649023,Clump,high
M21,5.1,13.23,2.582486978,0.011,-4.509860006,0.014415903,0.09,-2.407945609,0.112708458,5,26.516,99,1.605263158,4.463836802,sport,0.127904361,Clump,mid
K16,1.1,13.25,2.583997552,0.006,-5.11599581,0.007821272,0.092,-2.385966702,0.114701514,1,25.697,116,2.135135135,9.707083333,sport,0.068188048,Clump,mid
H177,4.2.1,13.25,2.583997552,0.01,-4.605170186,0.013035454,0.139,-1.973281346,0.173299026,4,106.604,222,2.69047619,14.85189591,sport,0.07521943,Clump,high
H163,4.2.2,13.26,2.584751985,0.015,-4.199705078,0.019501015,0.167,-1.789761467,0.207745942,4,106.604,222,2.69047619,14.85189591,sport,0.093869537,Clump,high
N186,2.3.3,13.34,2.59076704,0.009,-4.710530702,0.01145403,0.117,-2.145581344,0.142990139,2,91.724,282,2.098901099,12.80138429,sport,0.080103633,Clump,high
