ID,Sample,size,tissue,shell,situ,site,mass,no,ratio,ratio.m,location,body,clump
H132,4.2.2,9.64,0.002,0.045,clump,4,106.604,222,2.69047619,14.85189591,sport,0.044444444,high
H120,4.2.2,14.93,0.008,0.138,clump,4,106.604,222,2.69047619,14.85189591,sport,0.057971014,high
H166,4.2.1,13.1,0.006,0.085,clump,4,106.604,222,2.69047619,14.85189591,sport,0.070588235,high
H184,4.2.1,12.43,0.011,0.107,clump,4,106.604,222,2.69047619,14.85189591,sport,0.102803738,high
H186,4.2.1,13.77,0.01,0.121,clump,4,106.604,222,2.69047619,14.85189591,sport,0.082644628,high
H202,4.2.1,13.1,0.011,0.139,clump,4,106.604,222,2.69047619,14.85189591,sport,0.079136691,high
H185,4.2.1,14.48,0.011,0.142,clump,4,106.604,222,2.69047619,14.85189591,sport,0.077464789,high
H180,4.2.1,14.32,0.014,0.148,clump,4,106.604,222,2.69047619,14.85189591,sport,0.094594595,high
H167,4.2.1,14.44,0.01,0.168,clump,4,106.604,222,2.69047619,14.85189591,sport,0.05952381,high
H201,4.2.1,14.68,0.015,0.19,clump,4,106.604,222,2.69047619,14.85189591,sport,0.078947368,high
H68,4.1.2,13.4,0.011,0.125,clump,4,106.604,222,2.69047619,14.85189591,sport,0.088,high
H64,4.1.1,7.48,0.001,0.02,clump,4,106.604,222,2.69047619,14.85189591,sport,0.05,high
H44,4.1.1,7.54,0.001,0.023,clump,4,106.604,222,2.69047619,14.85189591,sport,0.043478261,high
H61,4.1.1,7.77,0.003,0.027,clump,4,106.604,222,2.69047619,14.85189591,sport,0.111111111,high
H54,4.1.1,15.17,0.017,0.158,clump,4,106.604,222,2.69047619,14.85189591,sport,0.107594937,high
H117,4.2,9.6,0.004,0.046,clump,4,106.604,222,2.69047619,14.85189591,sport,0.086956522,high
H116,4.2,10.84,0.006,0.077,clump,4,106.604,222,2.69047619,14.85189591,sport,0.077922078,high
